Periodicity;Year;Quarter;Month;Indicator;Value in Different Units;Date;Date_Object
Monthly;1998;;OCT;Total POS :  Number of Transactions;993016.0;OCT 1998;1998-10-01
Monthly;1999;;MAY;Total POS :  Number of Transactions;1188057.0;MAY 1999;1999-05-01
Monthly;1999;;JUL;Total POS :  Number of Transactions;1169613.0;JUL 1999;1999-07-01
Monthly;1999;;DEC;Total POS :  Number of Transactions;1486255.0;DEC 1999;1999-12-01
Monthly;2000;;JUL;Total POS :  Number of Transactions;1498704.0;JUL 2000;2000-07-01
Monthly;2000;;AUG;Total POS :  Number of Transactions;1528221.0;AUG 2000;2000-08-01
Monthly;2000;;SEP;Total POS :  Number of Transactions;1553405.0;SEP 2000;2000-09-01
Monthly;2001;;MAY;Total POS :  Number of Transactions;2023720.0;MAY 2001;2001-05-01
Monthly;2001;;JUL;Total POS :  Number of Transactions;1998819.0;JUL 2001;2001-07-01
Monthly;2001;;DEC;Total POS :  Number of Transactions;2332016.0;DEC 2001;2001-12-01
Monthly;2002;;MAR;Total POS :  Number of Transactions;2479804.0;MAR 2002;2002-03-01
Monthly;2002;;SEP;Total POS :  Number of Transactions;2917791.0;SEP 2002;2002-09-01
Monthly;2003;;OCT;Total POS :  Number of Transactions;4161333.0;OCT 2003;2003-10-01
Monthly;2003;;NOV;Total POS :  Number of Transactions;3910652.0;NOV 2003;2003-11-01
Monthly;2003;;DEC;Total POS :  Number of Transactions;3808376.0;DEC 2003;2003-12-01
Monthly;2004;;JAN;Total POS :  Number of Transactions;4140423.0;JAN 2004;2004-01-01
Monthly;2004;;FEB;Total POS :  Number of Transactions;3540008.0;FEB 2004;2004-02-01
Monthly;2004;;MAY;Total POS :  Number of Transactions;4462310.0;MAY 2004;2004-05-01
Monthly;2004;;AUG;Total POS :  Number of Transactions;4179845.0;AUG 2004;2004-08-01
Monthly;2004;;OCT;Total POS :  Number of Transactions;4962323.0;OCT 2004;2004-10-01
Monthly;2005;;JAN;Total POS :  Number of Transactions;5052374.0;JAN 2005;2005-01-01
Monthly;2005;;AUG;Total POS :  Number of Transactions;5477000.0;AUG 2005;2005-08-01
Monthly;2005;;DEC;Total POS :  Number of Transactions;6455189.0;DEC 2005;2005-12-01
Monthly;2006;;JAN;Total POS :  Number of Transactions;6551004.0;JAN 2006;2006-01-01
Monthly;2007;;JAN;Total POS :  Number of Transactions;7400432.0;JAN 2007;2007-01-01
Monthly;2007;;MAY;Total POS :  Number of Transactions;8815082.0;MAY 2007;2007-05-01
Monthly;2007;;SEP;Total POS :  Number of Transactions;8213990.0;SEP 2007;2007-09-01
Monthly;2007;;NOV;Total POS :  Number of Transactions;8522322.0;NOV 2007;2007-11-01
Monthly;2008;;MAY;Total POS :  Number of Transactions;9897654.0;MAY 2008;2008-05-01
Monthly;2008;;JUN;Total POS :  Number of Transactions;10859282.0;JUN 2008;2008-06-01
Monthly;2008;;SEP;Total POS :  Number of Transactions;9520202.0;SEP 2008;2008-09-01
Monthly;2008;;DEC;Total POS :  Number of Transactions;9660662.0;DEC 2008;2008-12-01
Monthly;2009;;MAY;Total POS :  Number of Transactions;10009510.0;MAY 2009;2009-05-01
Monthly;2009;;JUL;Total POS :  Number of Transactions;10653987.0;JUL 2009;2009-07-01
Monthly;2009;;AUG;Total POS :  Number of Transactions;10711616.0;AUG 2009;2009-08-01
Monthly;2009;;NOV;Total POS :  Number of Transactions;10854582.0;NOV 2009;2009-11-01
Monthly;2009;;DEC;Total POS :  Number of Transactions;10937794.0;DEC 2009;2009-12-01
Monthly;2010;;JAN;Total POS :  Number of Transactions;11480658.0;JAN 2010;2010-01-01
Monthly;2010;;FEB;Total POS :  Number of Transactions;10864976.0;FEB 2010;2010-02-01
Monthly;2010;;MAR;Total POS :  Number of Transactions;12171527.0;MAR 2010;2010-03-01
Monthly;2010;;MAY;Total POS :  Number of Transactions;12776998.0;MAY 2010;2010-05-01
Monthly;2010;;JUL;Total POS :  Number of Transactions;13480546.0;JUL 2010;2010-07-01
Monthly;2010;;AUG;Total POS :  Number of Transactions;13307491.0;AUG 2010;2010-08-01
Monthly;2011;;DEC;Total POS :  Number of Transactions;17790424.0;DEC 2011;2011-12-01
Monthly;2012;;JUN;Total POS :  Number of Transactions;20358339.0;JUN 2012;2012-06-01
Monthly;2012;;SEP;Total POS :  Number of Transactions;18853036.0;SEP 2012;2012-09-01
Monthly;2014;;JAN;Total POS :  Number of Transactions;25840402.0;JAN 2014;2014-01-01
Monthly;2015;;MAR;Total POS :  Number of Transactions;32793427.0;MAR 2015;2015-03-01
