م,اسم شركة القطاع الخاص في المملكة بالعربي ,اسم شركة القطاع الخاص في المملكة بالإنجليزي
658,شركة سراكو للموارد البشرية ,Sraco Human Resources
659,فرع بنك ستاندرد تشارترد,Standard Chartered Bank Branch
660,شركة إستراتيجي إند السعودية,Strategy & Saudi Arabia
661,شركة سلطان القابضة ,Sultan Holding Company
662,شركة سمو القابضة,Sumou holding company
663,شركة شور العالمية للتقنية,Sure Global Tech
664,شركة مصنع دار الأنظمة للوحات الكهربائية,System house factory for electrical panels CO
665,شركة تبوك للصناعات الدوائية المحدودة,Tabuk Pharmaceutical Manufacturing Company
666,شركة تحالف الفعاليات المحدودة,Tahaluf Events Limited
667,مجموعة تاج القابضة.,Taj Holding Group
668,تكامل لحلول الاعمال,Takamol Business Solutions
669,شركة مجموعة تكاتف القابضة,Takatuf Holding Group
670,شركة مجموعة طلعت مصطفى السعودية,Talaat Moustafa group Saudi Arabia
671,تام التنموية ,TAM
672,شركة تمر العربية التجارية ,TAMER ARABIA TRADING COMPANY LIMITED
673,شركة محمد سعيد تمر للخدمات اللوجستية المحدودة,Tamer logistics
674,شركة تمكين الدولية للأجهزة المنزلية,Tamkeen al-dawilya for household appliance
675,شركة تمكين للتقنيات,Tamkeen Technologies 
676,شركة طاقة لخدمات الآبار شركة شخص واحد ,TAQA Well services company
677,شركة تقنية الدواء للأدوية,Taqneyt Addawa Pharma Company
678,شركة ترتيب الحدث لإقامة وتنظيم  المعارض شركة شخص واحد,Tartib alhadath company - comeanddo
679,فرع شركة تاتا كونسلتنسي سيرفسز ليمتد,Tata Consultancy Services Limited
680,شركة تطوير ,Tatweer Company
681,شركة تطوير لتقنيات التعليم,Tatweer Educational Technologies 
682,شركة تطوير الخدمات النقل,Tatweer Transportation Services Company
683,شركة تطوير للمباني,TATWER BUILDING COMPANY
684,شركة توصيل التجارية,Tawseel Trading Company Ltd
685,شركة ابعاد فنية للمقاولات,Technical Dimensions Company
686,شركة ربط التقنية للاتصالات,Technical links services company limited-tls
687,شركة تيكنيكاس ريونيداس السعودية للخدمات والمقاولات المحدودة,Technicas Reunidas Saudia for Servicing and Contracting Co. LTD
688,شركة تيراداتا العربية السعودية,Teradata Saudi Arabia LLC
689,شركة تتراباك للتصنيع المحدودة,Tetra Pak Manufacturing Limited
690,شركة ثبات للإنشاءات التحتية,Thabat construction company
691,شركة ذاخر للتطوير,Thaker Development Company
692,شركة تاليس إنترناشيونال العربية السعودية المحدودة,Thales International Saudi Arabia L.L.C
693,شركة تاليس للحلول الأمنية والخدمات,Thales International Security Solutions & Services L.L.C
694,الإستشاريون لطب العيون فرع شركة البصر للخدمات الطبيه,the eye consultants-branch of al-basr medical services co
695,الشركة الدولية لتوزيع المياه,The International Water Distribution Company
696,الشركة السعودية العربيه للتسويق والتوكيلات,The Saudi Arabian Company for Marketing and age
697,شركة ذا وايت بالم ريفاينري (SILZ) ذ.م.م,The White Palm Refinery (SILZ) LLC
698,شركة تهامة لتوليد الطاقة المحدودة,Tihama power generation company limited
699,شركة توراي ميمبراين الشرق الأوسط المحدودة,Toray Membrane Middle East LLC
700,شركة طوى للتنمية,Towa Development CO
701,شركة تاورز ويليس  العربية السعودية,Towers Watson Saudi Arabia LLC
702,فرع شركة ترند مايكرو ليمتد,Trend Micro 
703,شركة كركم للتجارة,TURMER TRADING COMPANY
704,شركة تي يو في راينلاند,TÜV Rheinland Arabia LLC
705,شركة طوارئيات للعناية الطبية ,TWAREAT MEDICAL COMPANY
706,شركة ألترا الطبية,Ultra Medical Co
707,شركة الموحدة للتطوير العقاري,Unified Real Estate Development Company
708,الشركة المتحدة لصناعات الكرتون ,United Carton Industries Company
709,الشركة المتحدة للصيانة والمقاولات يونيماك,United Maintenance & Contracting Co. Unimac
710,شركة مجموعة المتحدة للسيارات,United motors group
711,الشركة المتحدة للسكر,United Sugar Company
712,الشركة المتحدة لتقنية المحطات و القواطع الكهربائية,United Technology of Electric Substations & Switchgear
713,الشركة المتحدة للمحولات الكهربائية المحدودة ,United Transformers Electric Company
714,شركة المخازن المتحدة المحدودة,United Warehouse Company
715,شركة فيوليا ووتر تكنولوجيز السعودية المحدودة,Veolia Water Technologies Saudi Limited
716,شركة فيرسوني للتجارة,Versuni Trading Company
717,شركة فياترس العربية المحدودة,Viatris Arabia Limited Company
718,شركة فيو المتحدة للتطوير العقاري,View united real estate development company
719,شركة فينيل العربية,Vinnell Arabia 
720,شركة رؤية وتطوير للاتصالات وتقنية المعلومات,Vision and Development for IT and Communication
721,شركة بنك فيجن مساهمة مقفلة,Vision Bank Closed Joint Stock Company
722,شركة رؤية العالمية للاستثمار ,Vision International Investment Company 
723,شركة في إم وير للتجارة المحدودة,Vmware Trading Ltd
724,فندق فوكو الرياض,VOCO Riyadh
725,شركة وادي العمر لتقنية المعلومات,Wadi Al Omar Co. For IT
726,شركة واحة العربية السعودية للإمدادات الكهربائية وسكوكا,Wahah Electric Supply Company of Saudi Arabia (WESCOSA)
727,شركة الوعلان للتجارة,Wallan Trading Company
728,شركة المخازن والخدمات المساندة ,Warehousing and logistics service company
729,شركة تجمبع وتدوبر المخلفات المحدودة,Waste collection & Recycling Com.Ltd
730,شركة مصنع حديد الوطنية,Watania Steel Factory Co
731,شركة تقنية المياه والبيئة المحدودة,Water and Environment Technology  Ltd
732,شركة نقل المياه,Water Transmission Company
733,ويز للحلول التسويقية,Ways
734,شركة وذرفورد انيرجي سيرفس العربية السعودية المحدودة ,Weatherford Energy Services Saudi Arabia Co. Ltd
735,شركة ويلسبون للأنابيب,Welspun Pipes
736,شركة ويستكون السعودية,Westcon
737,شركة ويبرو العربية المحدودة,Wipro Arabia Ltd
738,شركة وورلي العربية المحدودة,Worley Arabia Limited
739,شركة وورلي بارسونز للاستشارات الهندسية,Worley parsons engineering consultancies
740,شركة زينل للصناعات المحدودة ,Xenel Industries LTD
741,شركة ينال للتمويل ,Yanal
742,شركة يزيد الراجحي واخوانه القابضة مساهمة مقفلة,Yazeed Alrajhi and brothers Holding Company 
743,شركة يوسف مرون للمقاولات,Youssef Marroun Contracting Company
744,شركة يوكسال إنشاءات السعوديه,Yuksel Saudia CO.LTD
745,شركة زهران للصيانة والتشغيل,Zahran operation and maintenance
746,شركة مجموعه الزامل للتجارة والخدمات ,Zamil Group Trade and services
747,شركة زيكو ميدل أيست,Zeeco Middle East
748,شركة زمير بيوميت  أصل العربية المحدودة,Zimmer Biomet Asel Al Arabia Ltd
749, شركة مقر ألاين العربية الإقليمي, Align Arabia Regional Headquarter Company
750,مقر افوريس ميدل ايس الاقليمي افوريس ميدل ايست, Avoris GmbH
751,شركة مقر بي سي سي لوجيستيكس العالمية, BCC Logistics Global
752,مقر تشاينا جيو انجينيرينج الإقليمي, China Geo Engineering Corporation
753,شركة مقر دايمنشن داتا الإقليمي, Dimension Data PTY Limited
754,شركة مقر الدرة والسلطان الاقليمي, DORAH ALSULTAN Regional Headquarter
755,شركة مقر يورو جروب الإقليمي, EURO GROUP ENGINEERING CONSULTANCY RHQ
756,شركة مقر اف تي جي نيذرلاندز الإقليمي, FTG Netherlands NV
757,مقر إي تي كيرني الإقليمي,A.T. Kearney Regional Headquarters
758, شركة مقر كونيكا مينولتا العربية, Konica Minolta Regional Headquarters Company
759, شركة مقر بيرسون العربية الاقليمي, Pearson Arabia Regional Headquarters
760,شركة مقر سافيلز الإقليمي, Savills Middle East Regional Headquarter
761,شركة مقر سميث اند نيفيو الإقليمي, Smith and Nephew Regional headquarter
762, يو جوت أجفت دوت كوم, You Got a Gift
763,شركة مقر مجموعة المكتب الثامن عشر للسكك,China Railway 18th Bureau Group Middle East Regional Headquater
764,شركة مقر إن إي إس الشرق الأوسط وشمال افريقيا,NES MENA Regional Headquarters
765,شركة مقر اكسبلور الإقليمي,Xplore RHQ
766,شركة مقر سولفينتوم الطبية العربية,Solventum Arabia Trading RHQ
767,شركة مقر إيه بي بي الإقليمي,ABB MENA Regional Headquarter
768,مقر أبوت الإقليمي,Abbott Investments Luxembourg Sarl Regional Branch Office
769,مقر أبفي الإقليمي,AbbVie Inc
770,شركة مقر ابستراكت الإقليمي,Abstract Group
771,مقر أكسنتشر للشرق الأوسط وشمال افريقيا,Accenture ME Regional Office
772,مقر أكسيونا اغوا اس ايه الإقليمي,Acciona Agua SA
773,شركة مقر أدوبي الإقليمي,Adobe Regional HQ LLC
774,شركة مقر ادفانسد بايونيكس العربية,Advanced Bionics RHQ  Hearing Solutions
775,مقر ايكوم الإقليمي,AECOM Regional HQ
776,شركة مقر ايداس الشرق الأوسط وشمال,Aedas Middle East Regional HQ
777,مقر إيروجين الإقليمي,Aerogen Regional Head Quarter
778,شركة مقر أي إي أس إيميا المحدودة,AES EMEA Limted Regional Headquarter
779,مقر ايه جي كافيه انترناشونال ماناجمنت,TIM HORTONS
780,مقر اجفا هيلث كير الإقليمي,Agfa Healthcare Middle East
781,مقر اير ليكيد الخليج  الإقليمي,AIR LIQUIDE MIDDLE EAST
782,مقر اير برودكتس الشرق الاوسط الاقليمي,Air Products Middle East RHQ
783,شركة مقر إيرباص الاقليمي,Airbus Saudi RHQ
784,شركة مقر أولبرايت ستونبريدج الإقليمي,Albright Stonebridge Group Regional Office
785,مقر الديرلي الاقليمي,Alderley PLC
786,شركة مقر ألي إنترناشونال أس إيه أس,ALE International SAS Company
787,شركة مقر ألفا لافال الاقليمي,Alfa Laval Regional HQ
788,مقر شركة  اياسا انخيريا إي ار كيتوركورا,ALIA GESTION INTEGRAL DE SERVICIOS S L U
789,مقر ألما هيلث الإقليمي,Alma Health headquarter
790,شركة مقر ألفا الإقليمي,ALPHA INTERNATIONAL HOLDINGS COMPANY
791,شركة مقر ألستوم ترانسبورت الشرق الأوسط,ALSTOM Transport MENA Regional Headquarter
792,شركة مقر ألفارز آند مارسال الإقليمي,Alvarez and Marsal Regional Headquarters
793,شركة مقر اماديوس الإقليمي,Amadeus Regional Headquarters
794,شركة مقر مجموعة أمانة الإقليمي,Amana Group Regional Headquarter
795, شركة مقر أمازون ويب سيرفيسيز ليميتيد,Amazon Web Services RHQ Limited
796,شركة مقر أمجن الشرق الأوسط وشمال أفريقيا,Amgen Middle East and Africa Regional Headquarters
797,شركة مقر أنكورا الشرق الأوسط وشمال,Ankura MENA Regional Headquarters LLC
798,شركة مقر ايون الشرق الاوسط وشمال,Aon Middle East and North Africa Regional Headquarter
799,شركة مقر اي بي مولر ميرسك الاقليمي,AP Moller Maersk RHQ
800,شركة مقر ابكو اليبس الإقليمي,APCO ELLIPSE
801,شركة مقر أبوتكس الإقليمي,Apotex Medile East Regional Head Quarter
802,شركة مقر أبينفنتيف تكنولوجيز الإقليمي,Appinventiv Technologies LLC
803,شركة مقر ابلايد ميدكال الشرق الأوسط,Applied Medical Middle East and Africa
804,شركة مقر أيبلس الإقليمي,Applus RHQ
805,شركة مقر الخرائط الذكية العربية الإقليمي,Arabian Smart Mapping Company
806,شركة مقر ارابتك جردانة العالمية الإقليمي,Arabtech Jordania International Company
807,مقر أرامكس الإقليمي,Aramex Regional HQ
808,شركة مقر ارتفاكت الإقليمي,ARTEFACT
809,مقر ارثر دي ليتل  الإقليمي,Arthur D Little Services
810,شركة مقر اساهي انتك الإقليمي,Asahi Intecc Saudi
811,شركة مقر اسبن الطبية الاقليمي,Aspen Medical
812,شركة مقر أسبن فارما الإقليمي,Aspen Pharma Regional Headquarter
813,شركة مقر اسبن تيكنولوجي الإقليمي,Aspen Technology Regional Headquarters
814,شركة مقر أسولين الاقليمي,ASSOULINE KSA Regional HQ
815,شركة مقر أستيلاس فارما الإقليمي,Astellas Pharma Regional Headquarter
816,شركة مقر استرازينيكا كونتنينت الاقليمي,AstraZeneca Continent Regional Headqurter
817,شركة مقر اطلس كوبكو ايه بي الإقليمي,Atlas Copco Regional HQ
818, شركة بي برون العربية المحدودة,B Braun Arabia LLC
819,مقر بي أيه إي سيستمز انترناشونال ليميتد,BAE system international limited
820,شركة مقر بين آند كومباني الإقليمي,Bain and Company Regional HQ
821, شركة مقر بيكر ماكينزي الاقليمي,Baker McKenzie Regional Headquarter Company
822,شركة مقر جي إف سي جروب الإقليمي,Baker Tilly JFC Group LLC
823,شركة مقر باركر لانجهام الإقليمي,Barker Langham Regional HQ
824,شركة مقر بوش اند لومب العربية الإقليمي,Bausch and Lomb Arabia
825,شركة باكستر  الإقليمي شخص واحد,Baxter AG
826,شركة مقر باير الإقليمي,Bayer Regional Headquarter
827,شركة مقر بي دي الإقليمي,BD Arabia Regional Headquarter
828,شركة بستر الإقليمي,Bester Telecom International Limited
829,مقر بي جي أي الشرق الأوسط وشمال أفريقيا,BGI HEALTH HK COMPANY LIMITED
830,شركة مقر بايوجين الإقليمي,Biogen Regional Headquarters
831,شركة مقر بيوميريوكس الإقليمي,bioMerieux Regional Headquarter
832,شركة مقر بايوراد الإقليمي,BioRad RHQ
833,شركة مقر بلاك لين الشرق الأوسط وافريقيا,Blacklane Middle East Africa
834,شركة مقر بلاك روك الإقليمي,BLACKROCK Middle East RHQ
835,شركة مقر بي ال ار الإقليمي,BLR world Project Management Regional HQ
836,مقر بوهرينجر أنجلهايم ميدل إيست اند أفريقيا,Boehringer Ingelheim RHQ
837,شركة مكتب بوينج الشرق الأوسط الإقليمي,Boeing Regional Office
838,مقر بوسطن ساينتفك الإقليمي,Boston Scientific regional headquarters
839,شركة مقر برين لاب الشرق الأوسط وشمال,Brainlab Middle East RHQ
840,مقر جلياد ساينسز الإقليمي,Branch of Gilead Sciences Ireland UC RHQ
841,شركة مقر المقاولون العرب عثمان احمد,branch of the Arab Contractors Company  the regional
842,شركة مقر الشركة الهندسية للصناعات,Branch of the Engineering Company for Petroleum and Chemical Industries
843,شركة مقر بريستول مايرز سكويب الإقليمي,Bristol Myers Squibb Regional Headquarter Company
844,مقر بريتش أميركيان توباكو الشرق الأوسط الإقليمي,British American Tobacco (BAT)
845, شركة مقر بي اس آي الشرق الأوسط وشمال,BSI MENA Regional Headquarter
846,شركة مقر بيلد اب الإقليمي,BUILD UP EXHIBITION FIXTURES
847,شركة بيرو فيريتاس الشرق الأوسط الأقليمي,Bureau Veritas Middle East Regional Headquarter
848,شركة مقر بروهابولد الشرق الأوسط الإقليمي,Buro Happold Middle East Regional Headquarter
849,شركة مقر بي دبليو اس الشرق الأوسط وشمال,BWS MENA
850,شركة مقر بي واي سي إن الإقليمي,BYCN Regional Headquarters Company
851,شركة مقر سي إتش تو إم هيل الإقليمي,C H TWO M HILL INTERNATIONAL BV KINGDOM OF SAUDI ARABIA BRANCH
852,مقر كاف الإقليمي,CAF Regional Office
853,شركة مقر كال رويال برودكتس الإقليمي,CAL ROYAL PRODUCTS MIDDLE EAST
854,شركة مقر كانون ميديكال سيستمز كوربوريشن,Canon Medical Systems Middle East
855,شركة مقر كابجيميني الإقليمي,Capgemini LLC Regional Headquarter
856,شركة مقر كاردينال هيلث الإقليمي,Cardinal Health Regional Headquarters
857,شركة مقر كارل زايس ميديتك الإقليمي,CARL ZEISS MEDITEC AG RIGONAL HQ
858, شركة مقر كارير كوربورايشن الإقليمي,Carrier Corporation Regional Headquarters
859,مقر سي بي آر إي الشرق الأوسط وشمال,CBRE Middle East Regional Headquarters
860,شركة شديد يوروب الإقليمي شركة شخص واحد,Chedid Europe RHQ
861,المقر الإقليمي لشركة تشاينا سيفيل,China Civil Engineering Construction Corporation Regional Headquarters
862,مقر سي سي أس الإقليمي,China Communications Services International Limited
863,شركة مقر تشاينا هاربور انجنيرنغ الشرق,CHINA HARBOUR ENGINEERING CO LTD
864, شركة شمال الصين للصناعات الحربية,China North Industries Corporation MENA Regional Headquarters
865,مقر الشركة الصينية لإنشاءات السكك,China Railway Construction Corporation International Limited Regional Headquarters
866, شركة مقر سينا الاقليمي,Ciena Regional Headquarter Company
867,شركة مقر سيسكو الإقليمي,Cisco Regional Office
868,شركة مقر كلايد اند كو الاقليمي,Clyde and Co Regional Headquarter
869,شركة مقر سي أم أيه سي جي إم الإقليمي,CMA CGM Saudi Arabia Regional HQ
870,شركة مقر سيملوق مينا الإقليمي,CMLOG MENA Holding Company Limited
871, شركة مقر سي إم إس كاميرون ماكينا نابارو,CMS Cameron McKenna Nabarro Olswang LLP Regional Headquarter
872,شركة مقر كوبرا الإقليمي,Cobra Middle East Regional Headquarters Company
873,مقر كوكلير العربية الاقليمي,Cochlear Saudi Arabia
874,شركة مقر كوقنيزانت الإقليمي,Cognizant Regional Office
875,شركة مقر كولوبلاست الإقليمي,Coloplast Regional HQ KSA
876,شركة مقر كومفولت سيستمز الإقليمي,Commvault Systems Limited
877,شركة مقر اتحاد المستشارين للهندسة,Consolidated Consultants Group
878,مقر كونسولوم الإقليمي,Consulum Regional Headquarter
879,شركة مقر كوربوريت ريسرتش,Corporate Research and Investigations Limited
880,شركة مقر كوتكنا انسبكشن اس أي الشرق,Cotecna Regional HQ
881,شركة مقر كرانمور بارتنرز الشرق الاوسط,Cranmore Partners Limited
882,شركة مقر كرايون الإقليمي,Crayon Saudi Arabia
883,شركة مقر كرييتف ارتيست اجينسي الاقليمي,Creative Artists Agency LLC
884,شركة مقر سي إس إل الشرق الاوسط وافريقيا,CSL MIDDLE EAST AND AFRICA REGIONAL HEADQUARTER
885,شركة مقر كاري آند براون الإقليمي,Currie and Brown
886,شركة مقر سايبرارو الإقليمي,CYBERARROW REGIONAL HQ
887,مقر داهوا تيكنولوجي الإقليمي,Dahua Technology MENA Regional Headquarters
888,شركة مقر دايكن العربية الإقليمي,Daikin RHQ
889,شركة مقر دانون نوتريشيا الإقليمي,Danone Nutricia KSA LLC Regional HQ
890,مقر دار الدواء الإقليمي,DAR AL DAWA DEVELOPMENT AND INVESTMENT
891,شركة مقر دار الهندسة الإقليمي,Dar Alhandasah
892, مقر داتا فلو الإقلمي,dataflow regional headquarters
893,شركة مقر دافيتا كير الإقليمي,DaVita Care
894,شركة مقر دي بي انجينيرج اند كونسالتنج,DB Engineering and Consulting RHQ
895,شركة مقر دي لا رو الإقليمي,De La Rue Regional Headquarters
896,مقر ديلويت الشرق الأوسط الإقليمي,Deloitte and Touche
897,شركة مقر دلتا الإقليمي,Delta Meat and Livestock Trading Company
898,شركة مقر دنتونز الإقليمي,Dentons Middle East Regional HQ
899,شركة مقر دينتسبلاي سيرونا العربية,Dentsply Sirona Arabia Regional Headquarters LLC
900,شركة مقر دنتسو الشرق الأوسط وشمال,Dentsu MENA Regional Headquarter
901,شركة مقر ديتكون كونسلتنج الإقليمي,Detecon
902,مقر ديفوتيم الاقليمي,devoteam
903,شركة مقر ديكسكوم للشرق الأوسط و شمال,Dexom Middle East and North Africa Regional Headquarters Company
904,شركة مقر دي جي جونز الإقليمي,DGJones Middle East
905,مقر دي اتش الإقليمي,DH Regional Headquarters
906,شركة مقر دي ان في الشرق الأوسط وشمال,DNV Middle East And North Africa Regional Head Quarter
907,شركة مقر دوهوا الهندسية الإقليمي,Dohwa Engineering Regional Headquarters
908,مقر دوسان إينيربيلتي الشرق الأوسط وشمال افريقيا الإقليمي,DOOSAN Heavy Industries and Construction
909,شركة مقر دورماكابا الإقليمي,DORMAKABA ACCESS SOLUTIONS REGIONAL HEADQUARTERS LIMITED
910,شركة مقر دورنير الاقليمي,Dornier Regional Headquarter
911,شركة  مقر دورش الشرق الاوسط و شمال,Dorsch MENA RHQ
912,شركة مقر مجموعة دي أر أيه الإقليمي,DRA Group RHQ
913, شركة مقر دراجير مديكال انترناشيونال,Drager Medical International Regional Headquarters Company
914,شركة مقر دريمكاتشر الإقليمي,DreamCatcher
915,شركة مقر دي أس في العربية الإقليمي,DSV Arabia Regional Headquarter
916,شركة مقر دون اند برادستريت الإقليمي,Dun and Bradstreet Saudi RHQ
917,مقر دي دبليو اف العربية الإقليمي,DWF Group
918,شركة مقر دي اكس سي تكنولوجي الإقليمي,DXC Technology Regional Headquarter
919,مقر إي أيه أي سيستمز  الإقليمي,EAI Systems BV
920,شركة مقر ايكولاب العربية الإقليمي,Ecolab RHQ
921,شركة مقر ايديلمان الشرق الأوسط وشمال,Edelman Middle East and North Africa Regional Head Quarter
922, شركة مقر إي دي أف انترناشونال الاقليمي,EDF International Regional Headquarters
923,شركة مقر أدجينتا الإقليمي,Edgenta Middle East
924,شركة مقر إدواردز لايف ساينسيس الإقليمي,Edwards Lifesciences Regional Head Quarter
925,شركة مقر اي اف اديوكيشن الاقليمي,EF EDUCATION Regional HQ
926,مقر افيشيو انترناشونال الإقليمي,Efficio MENA Regional Headquarters
927,مقر ايجس الاقليمي,Egis Middle East Regional Headquarter
928,مقر إيجو للأدوية الأقليمي,Ego Pharmaceuticals Pty Ltd
929,شركة مقر أي اتش الشرق الأوسط وشمال,EH MENA
930,مقر ايلي ليلي الإقليمي,Eli Lilly Exports SA
931,شركة مقر ايليس دون الشرق الأوسط وشمال,EllisDon Mena Regional Headquarter
932,شركة مقر السويدي اليكتريك الإقليمي,ELSEWEDY ELECTRIC REGIONAL HEAD QUARTER
933,شركة مقر إيمرسون الإقليمي,Emerson Saudi Arabia Regional Headquarters LLC
934,شركة مقر انجيكون الإقليمي,Engicon Regional HQ
935,شركة مقر انجي الإقليمي,ENGIE RHQ
936,مقر أوراسيا ريسورسز جروب الإقليمي,ERG Middle East Sarl
937,مقر اريكسون أي بي الإقليمي,Ericsson AB Regional HQ  Saudi Branch
938,شركة مقر ارنست ويونغ الشرق الأوسط,ERNST AND YOUNG MIDDLE EAST REGIONAL HEAD QUARTER
939,شركة مقر إسري العربية الإقليمي,Esri Arabia Regional Headquarters
940,شركة مقر إسيتي العربية الإقليمي,Essity Arabia
941,شركة مقر إي تي أس الإقليمي,ETS Regional Headquarters
942,شركة مقر يورو كونسلت الإقليمي,euro consult for engineering consultancy
943,مقر إيفنتوس سكيورتي الإقليمي,Eventus Security
944,انتاليو ليمتد الإقليمي,EVERTEAM GLOBAL SERVICES LIMITED
945,شركة مقر إكسيلينس لوجنج ليمتد الشرق,Excellence Logging Limited Middle East and North Africa Regional Headquarter
946,شركة مقر اكسلانس نيو انرجي  الإقليمي,Excellence New Energy Middle East International Holding
947,شركة مقر أكسبروا الإقليمي,Expro Regional Company
948,شركة مقر إي يوث الإقليمي,Eyouth Regional HeadQuarters
949, شركة مقر إف فايف الشرق الاوسط و شمال,F5 Middle East and North Africa Regional Headquarters
950,مقر إف سي سي كونستركسيون الإقليمي,FCC Construction
951,شركة مقر فيشتنر مهندسون استشاريون,Fichtner Consulting Engineering MENA Headquarter
952,شركة مقر فيلم ماستر الإقليمي,Film Master MEA Events RHQ
953, مقر فاين هايجينيك الإقليمي,Fine Hygienic Regional Headquarters
954, المقر الإقليمي لمجموعة فيتش السعودية,Fitch Group Saudi Regional Headquarter
955,شركة مقر فايف هندرد الإقليمي,Five Hundred Startups International LLC
956,مقر فلينت إنترناشيونال الإقليمي,Flint Regional Headquarters Middle East
957, شركة مقر فورتينت الاقليمي,Fortinet Regional Headquarter Company
958, شركة مقر فوستر اند بارتنرز الشرق الأوسط,Foster and Partners MENA Regional Headquarters
959,شركة مقر إف بي تي الإقليمي,FPT Information technology RHQ
960,شركة مقر فراجومين الإقليمي,Fragomen Regional Headquarters LLC
961,شركة مقر فريزينيس كابي الإقليمي,Fresenius Kabi Regional Headquarter
962,مقر فريسينيوس ميديكال كير الإقليمي,Fresenius Medical Care Regional Headquarter
963,شركة مقر فريشفيلدز بروكهاوس,Freshfields Bruckhaus Deringer MENA Regional HQ
964,مقر فروست و سوليفان انك الإقليمي,Frost and Sullivan
965,شركة مقر أف تي أي كونسلتينج الإقليمي,FTI Consulting
966,شركة مقر فوغرو الإقليمي,FUGRO REGIONAL HEADQUARTERS
967,شركة مقر فوجي فيلم العربية الإقليمي,Fujifilm RHQ
968,شركة مقر صناعة أنابيب المستقبل الإقليمي,Future Pipe Industries Headquarter
969,شركة مقر فيوتشر لاب الإقليمي,FUTURELAB Co LTd Regional HQ
970,شركة مقر جي فور إس الدولية الإقليمي,G  four  S International Holdings Limited
971,شركة مقر غايا جلوبال تكنولوجيز الإقليمي,Gaea Global Technology
972,شركة مقر جارتنر الاقليمي,Gartner Regional Headquarters
973,مقر جي أي هيلث كير الإقليمي شخص واحد,GE Healthcare RHQ
974,مقر جي اي فيرنوفا أنترناشيونال ذ م م,General Electric International Inc Saudi
975, شركة مقر جينيسيس كلاود سيرفسز الاقليمي,Genesys Cloud Services Regional Headquarter Company
976,شركة مقر جيتنجي الإقليمي,Getinge Arabia Regional HQ
977,شركة مقر جيبسون دان آند كراتشر إل إل بي,Gibson Dunn Crutcher LLP
978,مقر جليدز الشرق الاوسط الاقليمي,Gleeds Middle East RHQ
979,شركة مقر جلينمارك للأدوية الإقليمي,Glenmark Pharmaceuticals Limited
980,شركة مقر جلوبال دومينيون الإقليمي,Global Dominion Middle East Company Limited
981,شركة مقر جلوبال اكسبيرينس سبيشلستس,Global Experience Specialists RHQ
982, شركة مقر قلوبانت الإقليمي,Globant Regional Headquarter Company
983,شركة مقر جولدمان ساكس الإقليمي,Goldman Sachs Middle East Regional HQ
984,شركة مكتب جوجل الإقليمي,Google Regional Office
985,شركة مقر جرافيتي ميديا العربية الإقليمي,Gravity Media Arabia Limited
986,شركة مقر جرينبيرج تراوريج الإقليمي,Greenberg Traurig Khalid Al Thebity Law Firm
987,مقر جرينبراير  الاقليمي,Greenbrier RHQ
988,شركة مقر غرونوبل بارتنرز الإقليمي,Grenoble Partners Middle East Regional
989,شركة مقر جرفولز الاقليمي,GRIFOLS SAUDI ARABIA
990,شركة مقر مجموعة أي بي الإدارية الإقليمي,Group IB Gulf Management
991,شركة مقر جي إس كي الإقليمي,GSK Regional Headquarters
992,شركة غوتمان ميدل ايست الإقليمي,GUTMANN MIDDILE EAST
993, شركة مقر أتش ثري سي تكنولوجيز الاقليمي,H3C Technologies Regional Headquarter Company
994,مكتب هاليبورتون الإقليمي,Halliburton Gulf States Holding PTE LTD
995,شركة مقر هانمي جلوبال الإقليمي,Hanmi Global RHQ
996,شركة مقر هانوا أيروسبيس الشرق الأوسط,Hanwha Aerospace MENA Regional Headquarters
997,شركة مقر هانوا فيجين الإقليمي,Hanwha Vision Regional Headquarter
998,شركة مقر حسن علام الشرق الاوسط الإقليمي,Hassan Allam Middle East Regional Headquarter
999, شركة مقر هاتش الإقليمي,Hatch Regional Headquarter
1000,شركة مقر  هافاس العربية الإقليمي,Havas Arabia RHQ
1001,شركة مقر هيلثتريب الإقليمي,Healthtrip Arabia
1002,شركة مقر هيدريك وسترجلز الإقليمي,Heidrick and Struggles Regional Headquarters
1003,هيوليت باكارد إنتربرايز ار اتش كيو,Hewlett Packard Enterprise RHQ
1004,شركة مقر اتش جي ام فند اس بي سي الشرق,HGM Fund Six SPC MENA RHQ
1005,مقر هيكت نيفادا الإقليمي,Hict
1006,شركة المقر الاقليمي لادوية الحكمة لمقرات,Hikma Pharmaceuticals RHQ
1007,شركة مقر هيكفيجن الإقليمي,HIKVISION KSA
1008,مقر هيل انترناشونال الإقليمي,Hill International RHQ
1009,شركة مقر هيتاشي العربية الإقليمي,Hitachi Arabia RHQ
1010,شركة مقر اتش كيه ايه الإقليمي,HKA
1011, شركة مقر هوجان لوفيلز الدولية الإقليمي,Hogan Lovells International Regional Headquarter Company
1012,فرع شركة هولوجيك الشرق الأوسط وشمال,Hologic MENA
1013,شركة مقر هومزمارت الإقليمي,Homzmart
1014,مقر هوني ويل انترناشونال الإقليمي,Honeywell international Regional Headquarter
1015,شركة مقر ماكس فيجن الإقليمي,Hong Kong Maxvision Technology Limited Regional Headquarter
1016,شركة مقر هوبسكوتش الإقليمي,HOPSCOTCH MENA RHQ
1017,شركة مقر هورفاث الإقليمي,Horvath Regional Headquarter
